bin center	omega	        hist_DD	        hist_DR	        hist_RR
 0.125	       1.562482	          49934	          15150	          34906
 0.375	       0.365263	          62044	          45282	          44932
 0.625	       0.210239	          91220	          75369	          75362
 0.875	       0.152391	         120642	         104773	         104888
 1.125	       0.093435	         148228	         134901	         134104
 1.375	       0.057575	         173760	         164500	         164724
 1.625	       0.047662	         202540	         193123	         192900
 1.875	       0.026901	         228794	         221472	         220070
 2.125	       0.025578	         256208	         250051	         250296
 2.375	       0.022671	         284648	         278293	         278246
 2.625	       0.006583	         310174	         306446	         304724
 2.875	       0.008545	         338782	         334614	         333294
 3.125	       0.004787	         366698	         362763	         360554
 3.375	       0.002635	         393396	         390887	         389404
 3.625	       0.000111	         419034	         416317	         413646
 3.875	       0.002095	         447448	         443768	         441012
 4.125	      -0.006190	         472378	         471879	         468480
 4.375	      -0.011162	         501852	         499424	         491510
 4.625	      -0.004876	         528496	         524114	         517210
 4.875	       0.000492	         556666	         550377	         544356
 5.125	       0.005789	         583852	         575276	         570000
 5.375	       0.012953	         612302	         599375	         594144
 5.625	       0.007743	         637358	         625990	         619418
 5.875	       0.009747	         662514	         650982	         645744
 6.125	       0.006673	         686732	         675318	         668364
 6.375	       0.004649	         707306	         698976	         693872
 6.625	       0.005130	         730894	         723631	         720062
 6.875	      -0.000432	         751024	         746066	         740788
 7.125	       0.001307	         780128	         772029	         764930
 7.375	       0.004293	         806110	         794984	         787238
 7.625	      -0.004222	         828072	         820312	         809136
 7.875	      -0.003982	         846574	         841327	         832764
 8.125	      -0.004511	         869866	         863601	         853486
 8.375	      -0.002540	         894346	         886033	         875496
 8.625	      -0.003544	         918954	         910512	         898884
 8.875	      -0.001685	         940494	         930391	         918740
 9.125	      -0.006744	         962088	         953364	         938312
 9.375	      -0.007723	         980972	         975103	         961806
 9.625	      -0.004342	        1007334	         995913	         980236
 9.875	      -0.007824	        1024042	        1016969	        1002056
10.125	      -0.002975	        1049096	        1035940	        1019750
10.375	      -0.002234	        1069424	        1055175	        1038606
10.625	       0.002140	        1090944	        1074243	        1059810
10.875	       0.007063	        1109508	        1091745	        1081622
11.125	      -0.002464	        1125816	        1114217	        1099908
11.375	      -0.002776	        1145626	        1132417	        1116110
11.625	       0.001194	        1169154	        1151943	        1136088
11.875	      -0.004817	        1182206	        1171477	        1155184
12.125	       0.000109	        1206100	        1189319	        1172666
12.375	      -0.000714	        1220570	        1206979	        1192536
12.625	       0.000099	        1241298	        1226945	        1212712
12.875	       0.002006	        1260960	        1242442	        1226384
13.125	       0.003234	        1277868	        1260321	        1246806
13.375	       0.005699	        1296958	        1277784	        1265824
13.625	       0.004319	        1317428	        1295501	        1279098
13.875	       0.001413	        1332410	        1312343	        1294104
14.125	       0.002793	        1349590	        1329209	        1312494
14.375	      -0.001139	        1364368	        1346798	        1327716
14.625	      -0.003965	        1379190	        1364317	        1344114
14.875	      -0.001183	        1398566	        1379565	        1358956
15.125	       0.000719	        1415278	        1393818	        1373346
15.375	      -0.001349	        1429274	        1409234	        1387322
15.625	       0.007806	        1453454	        1425572	        1408686
15.875	       0.005236	        1463346	        1438975	        1422050
16.125	       0.008658	        1480064	        1453384	        1439164
16.375	       0.001399	        1494430	        1471168	        1449934
16.625	       0.003336	        1512224	        1486192	        1465048
16.875	       0.001715	        1525998	        1500453	        1477442
17.125	       0.008707	        1542542	        1510530	        1491504
17.375	      -0.001884	        1552606	        1530807	        1506170
17.625	       0.001165	        1562668	        1540092	        1519286
17.875	       0.001964	        1580934	        1555945	        1533968
18.125	       0.010337	        1598446	        1565263	        1548082
18.375	       0.003697	        1612384	        1582269	        1557914
18.625	      -0.001323	        1624916	        1596856	        1566724
18.875	       0.002786	        1635472	        1607234	        1583408
19.125	       0.001818	        1649734	        1619482	        1592124
19.375	       0.004479	        1663322	        1630401	        1604668
19.625	       0.002399	        1674994	        1644139	        1617164
19.875	      -0.000348	        1682786	        1655198	        1627044
20.125	      -0.000594	        1693962	        1668335	        1641732
20.375	      -0.000691	        1707052	        1677819	        1647448
20.625	       0.000962	        1716682	        1686921	        1658756
20.875	       0.001153	        1729524	        1697871	        1668142
21.125	      -0.000162	        1735120	        1706968	        1678544
21.375	       0.003316	        1746502	        1715719	        1690542
21.625	       0.001487	        1752114	        1724129	        1698670
21.875	      -0.004284	        1756830	        1735808	        1707472
22.125	      -0.001405	        1771376	        1745455	        1717122
22.375	      -0.001070	        1787196	        1756561	        1724082
22.625	       0.007207	        1796262	        1760705	        1737672
22.875	       0.000187	        1797136	        1770208	        1743606
23.125	       0.001917	        1811518	        1779461	        1750760
23.375	       0.001537	        1815722	        1786415	        1759812
23.625	      -0.005616	        1818768	        1797388	        1766090
23.875	      -0.001674	        1822902	        1800842	        1775810
24.125	      -0.003366	        1831144	        1810631	        1784112
24.375	      -0.003452	        1841190	        1817467	        1787574
24.625	       0.001753	        1849552	        1822148	        1797896
24.875	      -0.000330	        1851154	        1828773	        1805796
25.125	       0.001441	        1861592	        1834857	        1810732
25.375	      -0.002567	        1864424	        1842378	        1815672
25.625	      -0.004641	        1866718	        1848434	        1821696
25.875	      -0.004116	        1871896	        1853437	        1827456
26.125	      -0.000510	        1877600	        1855744	        1832954
26.375	       0.003718	        1890444	        1861710	        1839816
26.625	       0.004066	        1894096	        1865898	        1845202
26.875	       0.001234	        1900188	        1873492	        1849078
27.125	      -0.001319	        1898544	        1877021	        1853054
27.375	      -0.003816	        1903558	        1883472	        1856302
27.625	      -0.003139	        1909170	        1888944	        1862870
